alias,office_code,office_name,confidence,support,total,all_votes,example_registration_id
星月餐厅,QTX_QUJING,瞿靖市场监管所,1.0,1,1,"{""瞿靖市场监管所"": 1}",51640300002025021700000105
星河传说,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025010600000039
星河传说2期东门,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025121000000028
星河传说二期海润生活超市,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025061400000007
星河传说小区东来顺餐厅,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024083000000019
星河传说小区东门口,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024071700000012
星河棋牌室,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024071700000012
星讯通讯,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025080200000017
星迅手机店,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002024111800000086
春光婚纱摄影,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025102500000005
春芝堂足疗店,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025120500000016
普华超市青铜峡市龙海商业街52号,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",1640381002025021914904267
智龙米业有限公司,QTX_YESHENG,叶盛市场监管所,1.0,1,1,"{""叶盛市场监管所"": 1}",51640300002025071100000050
曼巴体育篮球训练馆,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025112900000009
最美酒吧,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002025091500000001
月红商店”,QTX_QUJING,瞿靖市场监管所,1.0,1,1,"{""瞿靖市场监管所"": 1}",51640300002025051800000037
有奖射击打气球摊位,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025041900000018
朔方街221号,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",1640381002025102476667838
朝阳通讯店,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002024111200000037
朝霞家具店,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025070800000011
未知,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025011200000001
朱老九酸菜刀削,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025091400000008
朱老九酸菜刀削面,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025062000000043
李俊穆香牛肉面商户,QTX_HEXI,河西市场监管所,1.0,1,1,"{""河西市场监管所"": 1}",51640300002025080300000034
李子烧排,QTX_YUMIN,裕民市场监管所,1.0,1,1,"{""裕民市场监管所"": 1}",51640300002024100800000037
杭州小笼包,QTX_HEXI,河西市场监管所,1.0,1,1,"{""河西市场监管所"": 1}",51640300002025091200000041
果遇甄真甜水果店商户,QTX_XIAOBA,小坝市场监管所,1.0,1,1,"{""小坝市场监管所"": 1}",51640300002025052700000041
